2025-05-25 20:44:17,152 INFO    MainThread:127669 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_setup.py:_flush():70] Configure stats pid to 127669
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_setup.py:_flush():70] Loading settings from /home/david-lacour/.config/wandb/settings
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_setup.py:_flush():70] Loading settings from /home/david-lacour/Documents/transformerVision/githubs/VizInt/autoflex/autotinymodels/wandb/settings
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/david-lacour/Documents/transformerVision/githubs/VizInt/autoflex/autotinymodels/wandb/run-20250525_204417-upa2es6z/logs/debug.log
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/david-lacour/Documents/transformerVision/githubs/VizInt/autoflex/autotinymodels/wandb/run-20250525_204417-upa2es6z/logs/debug-internal.log
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_init.py:init():852] calling init triggers
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_init.py:init():893] starting backend
2025-05-25 20:44:17,153 INFO    MainThread:127669 [wandb_init.py:init():897] sending inform_init request
2025-05-25 20:44:17,162 INFO    MainThread:127669 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-25 20:44:17,163 INFO    MainThread:127669 [wandb_init.py:init():907] backend started and connected
2025-05-25 20:44:17,165 INFO    MainThread:127669 [wandb_init.py:init():1005] updated telemetry
2025-05-25 20:44:17,176 INFO    MainThread:127669 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-25 20:44:19,545 INFO    MainThread:127669 [wandb_init.py:init():1104] starting run threads in backend
2025-05-25 20:44:19,714 INFO    MainThread:127669 [wandb_run.py:_console_start():2573] atexit reg
2025-05-25 20:44:19,714 INFO    MainThread:127669 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-25 20:44:19,714 INFO    MainThread:127669 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-25 20:44:19,714 INFO    MainThread:127669 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-25 20:44:19,716 INFO    MainThread:127669 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-25 20:44:19,995 INFO    MsgRouterThr:127669 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
